UPC	length	RECEIPT ALIAS	ITEM NAME	BRAND	SIZE	COST	SUID	VENDOR	UOM	PACK
040232233197	y	WILLAMETTE VALLEY PN NOIR 15	OMERO WILLAMETTE VALLEY PINOT NOIR 2015	CRAFT WINE CO. (OMERO CELLARS)	750 ML	19.5	10491012	PINNACLE IMPORTS	CS	12
40267100709	y	BOSQ DES PAPES CDP CHANTELE 15	BOSQ. DES PAPES CDP CHANTELEMERLE 2015	WINES OF FRANCE	750 ML	53.75	121750	PINNACLE IMPORTS	CS	12
040267100709	y	VALLEY OF THE MOON CHARD 2014	VALLEY OF THE MOON CHARD 2014	VALLEY OF THE MOON	750 ML	15.75	104220	PINNACLE IMPORTS	CS	12
40267101300	y	BOUDIN CHABLIS LE CHANTEMERLE 10	BOUDIN CHABLIS LE CHANTEMERLE 2010	NORTH BERKELEY IMPORTS	750 ML	23.25	105970	PINNACLE IMPORTS	CS	12
040267101300	y	VAL OTHE MN SONOMA CAB SAUV 14	VALLEY OF THE MOON SONOMA CAB SAUV 2014	VALLEY OF THE MOON	750 ML	20.25	104210	PINNACLE IMPORTS	CS	12
040951175112	y	ST SUPERY CAB SAUV 14	ST SUPERY CABERNET SAUVIGNON 2014	ST. SUPERY	750 ML	31.5	10359013	PINNACLE IMPORTS	CS	12
040951175228	y	ST SUPERY DOLLARHIDE CAB SAUV 13	ST SUPERY DOLLARHIDE CABERNET SAUVIGNON 2013 6PK	ST. SUPERY	750 ML	72	122760	PINNACLE IMPORTS	CS	6
040951375161	y	ST SUPERY SAUV BLANC 2016	ST SUPERY SAUV BLANC 2016	ST. SUPERY	750 ML	18	10369013	PINNACLE IMPORTS	CS	12
040951375222	y	ST SUPERY DOLLARHIDE SB 2014	ST SUPERY DOLLARHIDE SB 2014 6PK	ST. SUPERY	750 ML	28.5	122770	PINNACLE IMPORTS	CS	6
040951375659	y	ST SUPRY MAXWL CRK SAUV BLANC 13	ST SUPERY MAXWELL CREEK SAUVIGNON BLANC 2013- CPWM EXCLUSI	ST. SUPERY	750 ML	10.5	103640	PINNACLE IMPORTS	CS	12
40951675117	y	BONGIOVANNI DOLCETTO DALBA 11	BONGIOVANNI DOLCETTO DALBA DOC 2011	EMPSON USA INC	750 ML	15.75	116540	PINNACLE IMPORTS	CS	12
040951675117	y	ST SUPERY ROSE 2016	ST SUPERY ROSE 2016	ST. SUPERY	750 ML	15	103601	PINNACLE IMPORTS	CS	12
045243000103	y	SPRECHER SPECIAL AMBER 616OZ	SPRECHER SPECIAL AMBER 6/4PK16OZ	SPRECHER BREWERY	16 OZ		117500	PINNACLE IMPORTS	CS	24
45243000126	y	SPRECHER SODA ROOT BEER 12 KEG	SPRECHER SODA ROOT BEER 1/2 BBL KEG NON-ALCOHOLIC	SPRECHER BREWERY	1/2 BB L	115	124140	PINNACLE IMPORTS	EA	1
45243000126	y	HALL NAPA MERLOT 2011	HALL NAPA MERLOT 2011	HALL	3 L	118.5	101663	PINNACLE IMPORTS	EA	1
45243000161	y	SPRECHER SODA ROOT BEER 7.9 GAL	SPRECHER SODA ROOT BEER 7.9 GAL KEG (NON-ALCOHOLIC)	SPRECHER BREWERY	7.9GA L	53	300210	PINNACLE IMPORTS	EA	1
045243000400	y	SPRECHER SODA ROOT BEER 6	SPRECHER SODA ROOT BEER 6/4PK	SPRECHER BREWERY	16 OZ	1.2	300110	PINNACLE IMPORTS	CS	24
45243000400	y	RCH ALE MARY 12X500ML	RCH ALE MARY 12X500ML	B. UNITED	16.9 OZ		123600	PINNACLE IMPORTS	CS	12
045243000417	y	SPRECHER SODA GINGER ALE 16OZ	SPRECHER SODA GINGER ALE 6/4PK/16OZ	SPRECHER BREWERY	16 OZ	1.2	300040	PINNACLE IMPORTS	CS	24
045243000455	y	SPRECHER SODA ORANGE DREAM 16OZ	SPRECHER SODA ORANGE DREAM 6/4PK/16	SPRECHER BREWERY	16 OZ	1.2	300070	PINNACLE IMPORTS	CS	24
045243001438	y	SPRECHER SODA PUMA KOLA 616	SPRECHER SODA PUMA KOLA 6/4PK/16	SPRECHER BREWERY	16 OZ	1.2	300080	PINNACLE IMPORTS	CS	24
