UPC	RECEIPT ALIAS	BRAND	SIZE	MSRP	VENDOR
000006408305	REACH PLUS ADULT MEDIUM	REACH	1CT	2.89	CAPITAL CANDY
000006410001	ORAJEL ADULT 12/.25OZ	ORAJEL	.25OZ	4.79	CAPITAL CANDY
000006477608	TEK PROFESSIONAL TOOTHBRUSH SOFT	TEK	1CT	.69	CAPITAL CANDY
000006530808	NAIL POLISH REMOVER 12/3.38OZ	NAIL	3.38OZ	2.19	CAPITAL CANDY
000006550103	GOOD SENSE HYDROGEN PER 12/16OZ	GOOD	16OZ	1.19	CAPITAL CANDY
000006558208	HYDROCORTISONE CRM1% 1OZ	GOOD SENSE	PKT	2.39	CAPITAL CANDY
000006569204	ASPIRIN 100 CT TABLETS	GOOD SENSE	100 CT	2.19	CAPITAL CANDY
000006597801	JUMBO COTTON BALLS 70 CT	GOOD SENSE	PKG	1.69	CAPITAL CANDY
000007021107	PENCILS 10 PACK	PENCILS	1CT	2.09	CAPITAL CANDY
000018402506	ENERGIZER AA-2PK E91BP-2	ENERGIZER	2CT	2.99	CAPITAL CANDY
000018409901	ENERGIZER AAA 2-PK E92BP-2	ENERGIZER	2CT	2.99	CAPITAL CANDY
000048003001	SPICE B-Y BLACK PEPPER (CAN)4OZ	SPICE	4 OZ	4.39	CAPITAL CANDY
000048007801	VANILLA PURE EXTRACT 12/1 OZ.	VANILLA	1OZ	5.79	CAPITAL CANDY
000048011808	SPICE B-Y BASIL LEAVES 12/.6OZ	SPICE	.06OZ	1.59	CAPITAL CANDY
000048012508	SPICE B-Y CINNAMON 12/2.4OZ	SPICE	2.4OZ	1.69	CAPITAL CANDY
000048013109	SPICE B-Y PARSLEY 12/.2OZ	SPICE	.2OZ	1.59	CAPITAL CANDY
000068400101	B-Y PEANUT BUTTER PL. 12/16 OZ	B-Y	16OZ	2.79	CAPITAL CANDY
000072800607	UVP APPLES MAC 12/3 LB BAG	UVP	1 CT	4.79	CAPITAL CANDY
000072806500	MUSHROOMS CELLO BABY BELLAS 8OZ	UVP	1 CT	2.99	CAPITAL CANDY
000080102106	HOOD 14 OZ HOMO MILK 12/14 OZ	HOOD	14OZ	.89	CAPITAL CANDY
000081710201	MCKENZIE/BRK SAUS 2376  RW	MCKENZIE	12/1 LB	.39	CAPITAL CANDY
000082000202	GOLDS HORSERADISH 12/6 OZ	GOLDS	6OZ	2.19	CAPITAL CANDY
000088203102	KOF KUP DONUT 12PK CRULLER #2291	KOF	1CT	.89	CAPITAL CANDY
000090150202	H.H. LIQUID SMOKE 12/5 OZ	HADDON HOUSE	5 OZ	2.49	CAPITAL CANDY
00000095040400	HOT DOGS MCKENZIE N/C PRE-PAK	MCKENZIE	12OZ	5.19	CAPITAL CANDY
00000095070100	HOT DOGS MCKENZIE BEEF  12/14OZ	MCKENZIE	14 OZ	5.79	CAPITAL CANDY
00000526410000	BENADRYL ALLERGY LIQ-GELS 24 CT	BENADRYL	PKT	7.09	CAPITAL CANDY
00000570230500	PEPTO BISMOL LIQUID 12/4OZ	PEPTO BISMOL	4OZ	3.69	CAPITAL CANDY
00000570250300	PEPTO BISMOL 30 TAB	PEPTO BISMOL	1CT	5.99	CAPITAL CANDY
00000590130200	BAG BALM 12/1 OZ	BAG	1OZ	5.59	CAPITAL CANDY
00000600360900	TAMPAX 10'S SUPER FLUSHABLE	TAMPAX	10 CT	2.89	CAPITAL CANDY
004100000695	W-BONE THOUSAND ISLAND 12/8 OZ	W-BONE	8 OZ.	2.09	CAPITAL CANDY
004132100613	W-BONE ITALIAN 12/8 OZ	W-BONE	8OZ	2.09	CAPITAL CANDY
00006730070900	W-BONE CHNK BLUE CHEESE 12/8 OZ	W-BONE	8OZ	2.09	CAPITAL CANDY
00006740010200	HOWARDS SW. PEPPER RELISH 12/11	HOWARDS	11.00 OZ	3.79	CAPITAL CANDY
008562003200	SONY D 2PK BATTERIES	SONY	2CT	3.29	CAPITAL CANDY
009800057146	TIC TAC SPEARMINT TWIST 12 CT	TIC	1CT	1.49	CAPITAL CANDY
009800057719	TIC TAC FRESHMINT 12 CT	TIC	1CT	1.49	CAPITAL CANDY
009800057771	TIC TAC WINTERGREEN 12 CT	TIC	1CT	1.49	CAPITAL CANDY
00011132152703	ALPO 12/13.2 PRIME CUT CHICKEN	ALPO	13OZ	1.29	CAPITAL CANDY
00011132152710	12/13.2 PRIM CUT BEEF/BAC/CHSE	ALPO	13OZ	1.29	CAPITAL CANDY
00011132152802	ALPO 12/13.2 BEEF GRAVY CRAVERS	ALPO	13OZ	1.29	CAPITAL CANDY
00012044039281	SOLID ORIGINAL 12/2.25 OZ	OLD SPICE	2.25	2.99	CAPITAL CANDY
012546004695	TRIDENT TRUE PEPPERMINT 12/18 CT	TRIDENT	PKT	1.29	CAPITAL CANDY
012546005227	KIDS SOUR PATCH GUM RBRY 12C	STRIDE	PKT	1.39	CAPITAL CANDY
012546011433	TRIDENT VALUE PK BBLGUM 12 CT	TRIDENT	14 PIECE	1.29	CAPITAL CANDY
00013000007559	HEINZ VINEGAR WHITE 12/16OZ	HEINZ	16 OZ	1.49	CAPITAL CANDY
00013120060823	ORE IDA TATOR TOTS 12/32 OZ	ORE	32OZ	4.59	CAPITAL CANDY
013700250125	HEFTY FOAM BOWL 12 OZ 12/50 CT.	HEFTY	50CT	4.49	CAPITAL CANDY
014400660009	MASON PINT JARS WM 12CT	MASON	1CT		CAPITAL CANDY
00014800001853	MOTTS APPLE SAUCE 12/24 OZ	MOTTS	24OZ	2.59	CAPITAL CANDY
016000384538	NV CRUNCH BARS PEANUT 12CT	NATURE VALLEY	1.25OZ	1.29	CAPITAL CANDY
00016000420700	BISQUICK 12/20 OZ	BISQUICK	20OZ	2.89	CAPITAL CANDY
00016600001057	ROSES LIME JUICE 12/12OZ	ROSES	12OZ	4.19	CAPITAL CANDY
00016600001064	ROSES GRENADINE 12/12 OZ	ROSES	12OZ	3.59	CAPITAL CANDY
00018627703259	GO LEAN CRUNCH CEREAL 12/13OZ	KASHI	13.8OZ	4.79	CAPITAL CANDY
021200010231	SCOTCH TRANPRNT TAPE#105 3/4X300	SCOTCH	1CT	1.89	CAPITAL CANDY
00021200516719	SCOTCH MAGIC TAPE #119 1/2X800-M	SCOTCH	1CT	2.69	CAPITAL CANDY
021400502000	SHELL MOTOR OIL 5W30 12/1 QTS	SHELL	12CT	8.19	CAPITAL CANDY
021400502031	SHELL MOTOR OIL 10W30 12/1 QTS	SHELL	12CT	8.09	CAPITAL CANDY
022000114846	WRIG ORBIT SPEARMINT GUM 12 CT	WRIG	1CT	1.39	CAPITAL CANDY
022000114860	WRIG ORBIT PEPPERMINT GUM 12 CT	WRIG	1CT	1.39	CAPITAL CANDY
022000114891	WRIG ORBIT BUBBLEMINT GUM 12 CT	WRIG	14 STICK	1.39	CAPITAL CANDY
022000158901	ALTOIDS SPEARMINTS   12. CT	ALTOIDS	1TIN	2.49	CAPITAL CANDY
022000191168	WRIG FREEDENT PEPP JMBO 12 CT	WRIG	1CT	1.29	CAPITAL CANDY
00024000165101	DELMONTE CORN 12/8.75	DELMONTE	8.75 OZ	1.29	CAPITAL CANDY
00024000578192	DELMONTE SPINACH LEAF 12/13.5 OZ	DELMONTE	13OZ	2.09	CAPITAL CANDY
00024100228768	CHEEZ-IT WHIT CHED 12/4OZ	CHEEZ	4OZ	2.19	CAPITAL CANDY
00024100705627	CHEEZ-IT ORIG 12/7OZ#70562	CHEEZ	7OZ	3.39	CAPITAL CANDY
00024100705696	CHEEZ WHITE CHED12/7 #70569	CHEEZ	7OZ	3.39	CAPITAL CANDY
00024452182305	BAG SAUSAGE 1 LB    2370	MCKENZIE	12/1 LB	4.59	CAPITAL CANDY
00025000010576	SIMPLY APPLE 12/11.5OZ	SIMPLY	11.5OZ	1.89	CAPITAL CANDY
00025700001409	SARAN WRAP 12/100 SQF	SARAN	1CT	2.49	CAPITAL CANDY
025700003991	ZIP LOC FRZ.BAG PINT 12/20 CT	ZIP	20CT	3.89	CAPITAL CANDY
00026200461700	SNFLWR IN SHELL ORIG 12/5.25	DAVIDS	5.25	1.49	CAPITAL CANDY
00027000360321	HUNTS TOMATO WHOLE 12/28 OZ.	HUNTS	28.00 OZ	3.09	CAPITAL CANDY
00027000390290	HUNTS TOMATO SAUCE 12/29OZ	HUNTS	29OZ	3.19	CAPITAL CANDY
029000012752	PLANT TUBE NUT PISTACIOS	PLANT	1.75Z	2.09	CAPITAL CANDY
029000078789	PLANT TRAIL MIX NUT/SEED/CRNBRRY	PLANT	6OZ	3.29	CAPITAL CANDY
029000078802	TRAIL MIX TROP FRT&NT PCH12/6	PLANT	6OZ	3.29	CAPITAL CANDY
00030000010044	QUAKER OATS QUICK 12/18 OZ	QUAKER	18OZ	3.49	CAPITAL CANDY
00030000013212	QUAKER OATS REG 12/18 OZ	QUAKER	18OZ	3.49	CAPITAL CANDY
030100211501	12PK TOAST PB & J CRACKER	KEEBLER	1OZ	.69	CAPITAL CANDY
030100211655	KEEBLER 12PK CHEESE &PB CRACKER	KEEBLER	1OZ	.69	CAPITAL CANDY
030100211679	KEEBLER 12PK TOAST & PB CRACKERS	KEEBLER	1OZ	.69	CAPITAL CANDY
31200210159	32 OZ CRANBERRY COCKTAIL 12 CT	OCEAN SPRAY	32OZ	2.99	CAPITAL CANDY
033159010132	CITGO OIL 10W40 12/1 QT	CITGO	1QT	5.99	CAPITAL CANDY
00033600420107	HERB-OX BEEF CUBES 12/25 CT.	HERB	1CT	3.09	CAPITAL CANDY
00033600420114	HERB-OX CHICKEN CUBES 12/25 CT	HERB	1CT	3.09	CAPITAL CANDY
00034000052011	HERSHEY COCOA 12/8 OZ	HERSHEY	8OZ	4.79	CAPITAL CANDY
00036200219232	BERTOLLI ALFREDO SAUCE 12/15OZ	BERTOLLI	15OZ	3.99	CAPITAL CANDY
